2026-08-05 16:45:33,134 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:45:38,380 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:45:43,628 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:45:48,872 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:45:54,110 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:45:59,350 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:46:04,579 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:46:09,819 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:46:15,038 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:46:20,266 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:46:25,500 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:46:30,738 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:46:35,979 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:46:41,219 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:46:46,446 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:46:51,689 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:46:56,922 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:02,147 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:07,386 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:12,641 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:17,872 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:23,139 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:28,371 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:33,594 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:38,839 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:44,069 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:49,301 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:54,527 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:47:59,764 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:48:04,989 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:48:10,241 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:48:15,506 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:48:20,746 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:48:25,985 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:48:31,205 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:48:36,425 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:48:41,661 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:48:46,901 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:48:52,126 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:48:57,355 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:49:02,579 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:49:07,796 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:49:13,026 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:49:18,297 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:49:23,534 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:49:28,772 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:49:34,014 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:49:39,231 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:49:44,452 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:49:49,698 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:49:54,934 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:50:00,190 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:50:05,423 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:50:10,674 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:50:15,912 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
